access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,237381.5351,237806.5166,0.0144,131072.0000,1024.0000,0.0072,2.2047,0.4589,2.2086,128,0
read,308311.8619,308914.0578,0.0130,131072.0000,1024.0000,0.0065,1.6972,0.0491,1.7005,128,0
write,280129.6016,280638.0377,0.0136,131072.0000,1024.0000,0.0067,1.8682,0.1455,1.8716,128,1
read,314433.5267,315051.7732,0.0123,131072.0000,1024.0000,0.0064,1.6641,0.1179,1.6674,128,1
write,237601.0110,237979.1247,0.0160,131072.0000,1024.0000,0.0068,2.2031,0.1584,2.2066,128,2
read,270696.7920,271172.5710,0.0121,131072.0000,1024.0000,0.0067,1.9334,0.3955,1.9368,128,2
write,239528.5526,239901.2101,0.0159,131072.0000,1024.0000,0.0066,2.1854,0.1770,2.1888,128,3
read,256123.5483,256527.7102,0.0110,131072.0000,1024.0000,0.0064,2.0438,0.6591,2.0470,128,3
write,271578.7681,272076.8418,0.0141,131072.0000,1024.0000,0.0068,1.9270,0.1440,1.9305,128,4
read,320367.4405,321033.2132,0.0120,131072.0000,1024.0000,0.0067,1.6331,0.1173,1.6365,128,4
