access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,383665.7568,192340.7433,0.0305,131072.0000,2048.0000,0.0092,2.0444,0.3804,2.0498,192,0
read,165592.6917,82857.4462,0.0714,131072.0000,2048.0000,0.0071,4.7457,1.1169,4.7492,192,0
write,339506.5770,170010.0971,0.0347,131072.0000,2048.0000,0.0069,2.3129,0.2812,2.3164,192,1
read,189942.3950,95047.2091,0.0580,131072.0000,2048.0000,0.0065,4.1371,0.8918,4.1404,192,1
write,426325.0489,213571.6905,0.0283,131072.0000,2048.0000,0.0069,1.8411,0.2053,1.8447,192,2
read,176986.6784,88562.4416,0.0629,131072.0000,2048.0000,0.0068,4.4400,1.3247,4.4435,192,2
write,427801.8988,214317.9429,0.0280,131072.0000,2048.0000,0.0070,1.8347,0.2082,1.8383,192,3
read,172435.4817,86281.6455,0.0632,131072.0000,2048.0000,0.0066,4.5574,1.2628,4.5607,192,3
write,405879.8595,203294.6690,0.0295,131072.0000,2048.0000,0.0065,1.9342,0.2190,1.9376,192,4
read,208747.3276,104463.6986,0.0546,131072.0000,2048.0000,0.0063,3.7641,0.8946,3.7674,192,4
