access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,2612.2770,167216.1952,0.0046,131072.0000,16.0000,0.0100,37.6247,0.2525,37.6315,24,0
read,2798.0580,179092.8935,0.0041,131072.0000,16.0000,0.0066,35.1296,1.5671,35.1329,24,0
write,2610.4351,167083.5357,0.0046,131072.0000,16.0000,0.0069,37.6546,0.2558,37.6581,24,1
read,2885.3987,184684.0693,0.0041,131072.0000,16.0000,0.0067,34.0660,0.2233,34.0695,24,1
write,2629.1392,168280.0749,0.0046,131072.0000,16.0000,0.0064,37.3868,0.2132,37.3902,24,2
read,2896.3874,185386.5130,0.0041,131072.0000,16.0000,0.0063,33.9370,0.1905,33.9402,24,2
write,2635.8608,168710.6316,0.0045,131072.0000,16.0000,0.0066,37.2914,0.1770,37.2948,24,3
read,2893.0638,185174.0030,0.0041,131072.0000,16.0000,0.0064,33.9759,0.1576,33.9792,24,3
write,2628.4061,168233.3979,0.0046,131072.0000,16.0000,0.0066,37.3972,0.2252,37.4006,24,4
read,2891.8875,185098.8167,0.0041,131072.0000,16.0000,0.0065,33.9897,0.2073,33.9930,24,4
