access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,128370.8775,8063.1300,0.0938,131072.0000,16384.0000,0.0071,0.7620,0.0606,0.7658,24,0
read,175279.0025,11021.7566,0.0677,131072.0000,16384.0000,0.0067,0.5574,0.0282,0.5608,24,0
write,119852.2010,7521.3380,0.0987,131072.0000,16384.0000,0.0065,0.8169,0.0722,0.8202,24,1
read,171997.2053,10810.2568,0.0673,131072.0000,16384.0000,0.0062,0.5683,0.0333,0.5715,24,1
write,120960.7879,7591.4557,0.0992,131072.0000,16384.0000,0.0065,0.8093,0.0775,0.8127,24,2
read,172946.1898,10871.0460,0.0684,131072.0000,16384.0000,0.0063,0.5652,0.0304,0.5684,24,2
write,119929.5927,7528.3891,0.0993,131072.0000,16384.0000,0.0069,0.8161,0.0747,0.8197,24,3
read,178788.5029,11244.5473,0.0659,131072.0000,16384.0000,0.0067,0.5464,0.0270,0.5498,24,3
write,119151.1573,7477.6275,0.0997,131072.0000,16384.0000,0.0066,0.8217,0.0770,0.8250,24,4
read,173328.8971,10895.4753,0.0686,131072.0000,16384.0000,0.0064,0.5639,0.0288,0.5672,24,4
