access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,174404.7899,10955.9588,0.0911,131072.0000,16384.0000,0.0070,0.7477,0.0616,0.7515,32,0
read,213870.7429,13440.9209,0.0677,131072.0000,16384.0000,0.0066,0.6095,0.0813,0.6129,32,0
write,156609.7486,9828.4579,0.0976,131072.0000,16384.0000,0.0067,0.8335,0.0830,0.8369,32,1
read,210738.8927,13240.2571,0.0682,131072.0000,16384.0000,0.0064,0.6187,0.0769,0.6220,32,1
write,154293.2975,9683.8788,0.0993,131072.0000,16384.0000,0.0068,0.8459,0.0996,0.8495,32,2
read,219694.2312,13810.7560,0.0657,131072.0000,16384.0000,0.0067,0.5932,0.0718,0.5966,32,2
write,155325.9830,9746.0804,0.0999,131072.0000,16384.0000,0.0063,0.8405,0.0805,0.8439,32,3
read,198875.3178,12488.8916,0.0676,131072.0000,16384.0000,0.0061,0.6559,0.1226,0.6591,32,3
write,155324.5348,9747.7615,0.0985,131072.0000,16384.0000,0.0066,0.8404,0.0886,0.8439,32,4
read,218107.2159,13706.8375,0.0661,131072.0000,16384.0000,0.0065,0.5977,0.0697,0.6010,32,4
