access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,165482.2100,83034.4749,0.0232,131072.0000,2048.0000,0.0087,1.5785,0.1649,1.5841,64,0
read,188762.7079,94611.0745,0.0212,131072.0000,2048.0000,0.0065,1.3854,0.0468,1.3887,64,0
write,184908.2225,92684.5501,0.0214,131072.0000,2048.0000,0.0069,1.4142,0.0707,1.4177,64,1
read,200635.5724,100576.8934,0.0199,131072.0000,2048.0000,0.0066,1.3032,0.0323,1.3066,64,1
write,186720.9011,93577.8788,0.0214,131072.0000,2048.0000,0.0063,1.4007,0.0613,1.4039,64,2
read,188978.7825,94702.6856,0.0211,131072.0000,2048.0000,0.0061,1.3840,0.0394,1.3872,64,2
write,180017.3561,90215.9834,0.0219,131072.0000,2048.0000,0.0065,1.4529,0.0663,1.4562,64,3
read,197838.8610,99160.0862,0.0200,131072.0000,2048.0000,0.0063,1.3218,0.0418,1.3250,64,3
write,176773.8823,88582.2247,0.0225,131072.0000,2048.0000,0.0063,1.4797,0.0602,1.4829,64,4
read,201507.8802,100998.8657,0.0201,131072.0000,2048.0000,0.0062,1.2978,0.0276,1.3009,64,4
