access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,3530.1252,225950.7692,0.0045,131072.0000,16.0000,0.0069,37.1258,0.3381,37.1296,32,0
read,3883.6890,248580.6476,0.0041,131072.0000,16.0000,0.0066,33.7460,0.3115,33.7494,32,0
write,3519.0603,225239.4403,0.0045,131072.0000,16.0000,0.0064,37.2431,0.3963,37.2463,32,1
read,3877.9785,248213.8957,0.0041,131072.0000,16.0000,0.0062,33.7959,0.3633,33.7991,32,1
write,3525.4678,225650.2784,0.0045,131072.0000,16.0000,0.0065,37.1753,0.2195,37.1786,32,2
read,3883.2624,248552.5772,0.0041,131072.0000,16.0000,0.0063,33.7498,0.2112,33.7531,32,2
write,3519.1291,225245.9420,0.0045,131072.0000,16.0000,0.0069,37.2420,0.2599,37.2456,32,3
read,3880.7122,248390.9075,0.0041,131072.0000,16.0000,0.0068,33.7718,0.2378,33.7752,32,3
write,3530.3746,225963.6043,0.0045,131072.0000,16.0000,0.0062,37.1237,0.2104,37.1269,32,4
read,3889.5513,248954.3877,0.0041,131072.0000,16.0000,0.0061,33.6954,0.1831,33.6985,32,4
