access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,7148.2214,457532.8539,0.0045,131072.0000,16.0000,0.0068,36.6689,0.3334,36.6726,64,0
read,7844.1091,502072.2009,0.0041,131072.0000,16.0000,0.0064,33.4159,0.3007,33.4192,64,0
write,7138.9949,456940.7073,0.0045,131072.0000,16.0000,0.0071,36.7164,0.3163,36.7200,64,1
read,7843.3238,502025.6435,0.0041,131072.0000,16.0000,0.0069,33.4190,0.2817,33.4226,64,1
write,7128.2511,456249.7425,0.0045,131072.0000,16.0000,0.0064,36.7720,0.3103,36.7754,64,2
read,7844.7084,502110.1717,0.0041,131072.0000,16.0000,0.0063,33.4134,0.2801,33.4167,64,2
write,7117.8855,455587.0139,0.0045,131072.0000,16.0000,0.0065,36.8255,0.4132,36.8289,64,3
read,7841.6779,501917.2173,0.0041,131072.0000,16.0000,0.0065,33.4263,0.3715,33.4296,64,3
write,7120.8265,455773.5284,0.0045,131072.0000,16.0000,0.0063,36.8104,0.3411,36.8137,64,4
read,7981.1017,510839.0940,0.0040,131072.0000,16.0000,0.0061,32.8425,0.2990,32.8456,64,4
