access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,14174.5933,907359.8893,0.0045,131072.0000,16.0000,0.0109,36.9803,0.6681,36.9879,128,0
read,14529.7867,929996.8943,0.0042,131072.0000,16.0000,0.0070,36.0802,2.0810,36.0837,128,0
write,14223.1046,910362.1198,0.0044,131072.0000,16.0000,0.0067,36.8583,0.9211,36.8617,128,1
read,14400.9437,921744.1515,0.0041,131072.0000,16.0000,0.0064,36.4032,2.6610,36.4065,128,1
write,14205.6274,909245.0771,0.0044,131072.0000,16.0000,0.0067,36.9036,1.0431,36.9071,128,2
read,14462.7598,925702.3967,0.0041,131072.0000,16.0000,0.0066,36.2475,2.6968,36.2509,128,2
write,14160.4072,906351.5678,0.0044,131072.0000,16.0000,0.0067,37.0214,1.1258,37.0249,128,3
read,14663.1432,938529.3288,0.0041,131072.0000,16.0000,0.0066,35.7521,2.4467,35.7555,128,3
write,14152.0069,905811.7703,0.0044,131072.0000,16.0000,0.0653,37.0435,1.0768,37.0469,128,4
read,14629.2547,936358.7337,0.0042,131072.0000,16.0000,0.0276,35.8350,2.3415,35.8383,128,4
