access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,315314.9166,315897.3034,0.0167,131072.0000,1024.0000,0.0086,2.4895,0.4527,2.4941,192,0
read,233709.3604,233983.3998,0.0158,131072.0000,1024.0000,0.0078,3.3611,1.4005,3.3650,192,0
write,307900.2325,308320.4210,0.0181,131072.0000,1024.0000,0.0069,2.5507,0.2786,2.5542,192,1
read,358927.2800,359493.1993,0.0157,131072.0000,1024.0000,0.0067,2.1876,0.1936,2.1911,192,1
write,320725.5743,321192.3128,0.0174,131072.0000,1024.0000,0.0069,2.4485,0.3068,2.4520,192,2
read,413864.2990,414612.0491,0.0147,131072.0000,1024.0000,0.0067,1.8968,0.0544,1.9002,192,2
write,401728.7958,402524.3978,0.0147,131072.0000,1024.0000,0.0076,1.9537,0.1076,1.9576,192,3
read,351061.7612,351609.9893,0.0157,131072.0000,1024.0000,0.0069,2.2367,0.2504,2.2402,192,3
write,362660.9193,363222.0437,0.0164,131072.0000,1024.0000,0.0065,2.1652,0.1696,2.1685,192,4
read,422644.9830,423385.6430,0.0142,131072.0000,1024.0000,0.0063,1.8575,0.0524,1.8607,192,4
