access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,488420.9671,30618.9407,0.1845,131072.0000,16384.0000,0.0082,1.6053,0.1354,1.6102,192,0
read,95666.7768,5981.8863,0.9402,131072.0000,16384.0000,0.0073,8.2168,1.2664,8.2205,192,0
write,459274.0752,28763.1206,0.1955,131072.0000,16384.0000,0.0068,1.7089,0.3800,1.7123,192,1
read,136798.6616,8554.7457,0.5923,131072.0000,16384.0000,0.0065,5.7456,1.6745,5.7488,192,1
write,457488.0273,28653.4274,0.2024,131072.0000,16384.0000,0.0070,1.7154,0.4318,1.7190,192,2
read,107171.8571,6701.3851,0.8483,131072.0000,16384.0000,0.0067,7.3346,1.5336,7.3380,192,2
write,460842.2858,28862.4839,0.2036,131072.0000,16384.0000,0.0068,1.7030,0.3810,1.7065,192,3
read,94265.0931,5894.2178,0.9576,131072.0000,16384.0000,0.0074,8.3390,1.6989,8.3428,192,3
write,459332.2747,28767.7122,0.2043,131072.0000,16384.0000,0.0068,1.7086,0.3600,1.7121,192,4
read,140331.4477,8776.1088,0.6357,131072.0000,16384.0000,0.0070,5.6007,1.6094,5.6041,192,4
