access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,59166.3497,29650.0034,0.0259,131072.0000,2048.0000,0.0069,1.6577,0.0926,1.6615,24,0
read,79102.4968,39655.7888,0.0192,131072.0000,2048.0000,0.0064,1.2395,0.0288,1.2427,24,0
write,67098.0851,33628.1852,0.0226,131072.0000,2048.0000,0.0068,1.4616,0.0459,1.4651,24,1
read,79627.9790,39920.0490,0.0189,131072.0000,2048.0000,0.0064,1.2313,0.0303,1.2345,24,1
write,67898.7394,34030.5327,0.0226,131072.0000,2048.0000,0.0067,1.4444,0.0232,1.4478,24,2
read,78406.1069,39307.6699,0.0193,131072.0000,2048.0000,0.0065,1.2504,0.0309,1.2538,24,2
write,67133.0118,33650.1026,0.0226,131072.0000,2048.0000,0.0070,1.4607,0.0344,1.4643,24,3
read,74687.7364,37443.3818,0.0205,131072.0000,2048.0000,0.0068,1.3127,0.0205,1.3162,24,3
write,66464.9095,33311.5569,0.0226,131072.0000,2048.0000,0.0068,1.4755,0.0503,1.4790,24,4
read,79543.5050,39881.1199,0.0191,131072.0000,2048.0000,0.0066,1.2325,0.0300,1.2359,24,4
