access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,21165.3352,1354826.5537,0.0045,131072.0000,16.0000,0.0101,37.1499,0.6022,37.1566,192,0
read,21854.9471,1398843.8108,0.0042,131072.0000,16.0000,0.0065,35.9809,1.7194,35.9842,192,0
write,21881.2245,1400538.5003,0.0043,131072.0000,16.0000,0.0071,35.9374,0.4291,35.9410,192,1
read,21742.7102,1391668.5311,0.0041,131072.0000,16.0000,0.0069,36.1664,2.7641,36.1699,192,1
write,21849.3797,1398489.2928,0.0044,131072.0000,16.0000,0.0065,35.9900,0.5507,35.9933,192,2
read,21807.2113,1395786.6533,0.0041,131072.0000,16.0000,0.0063,36.0597,2.7690,36.0629,192,2
write,21764.8042,1393072.8455,0.0044,131072.0000,16.0000,0.0063,36.1299,0.6013,36.1332,192,3
read,21996.5922,1407906.3494,0.0041,131072.0000,16.0000,0.0062,35.7493,2.3562,35.7524,192,3
write,21652.9088,1385913.7959,0.0044,131072.0000,16.0000,0.0065,36.3166,0.7960,36.3199,192,4
read,21804.5782,1395618.7218,0.0041,131072.0000,16.0000,0.0063,36.0640,2.6036,36.0673,192,4
