access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,498063.4293,31304.7187,0.1254,131072.0000,16384.0000,0.0094,1.0467,0.0806,1.0527,128,0
read,80964.1061,5063.0385,0.7814,131072.0000,16384.0000,0.0070,6.4720,1.2437,6.4756,128,0
write,456190.9384,28598.7610,0.1395,131072.0000,16384.0000,0.0068,1.1458,0.0799,1.1493,128,1
read,92959.5394,5813.3522,0.6737,131072.0000,16384.0000,0.0065,5.6367,1.1594,5.6400,128,1
write,452627.9634,28373.6852,0.1379,131072.0000,16384.0000,0.0067,1.1549,0.1038,1.1583,128,2
read,93594.6944,5853.1449,0.6403,131072.0000,16384.0000,0.0065,5.5984,1.3443,5.6017,128,2
write,457836.7340,28700.5556,0.1364,131072.0000,16384.0000,0.0066,1.1417,0.0811,1.1451,128,3
read,97085.1906,6071.3986,0.6359,131072.0000,16384.0000,0.0064,5.3971,1.3575,5.4003,128,3
write,443331.2626,27787.9056,0.1398,131072.0000,16384.0000,0.0065,1.1792,0.1023,1.1826,128,4
read,83949.2892,5249.5465,0.7595,131072.0000,16384.0000,0.0063,6.2421,1.8462,6.2453,128,4
