access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,66255.3013,66386.9144,0.0143,131072.0000,1024.0000,0.0073,1.9744,0.1856,1.9783,32,0
read,95260.4571,95506.3108,0.0107,131072.0000,1024.0000,0.0069,1.3724,0.0275,1.3759,32,0
write,69013.8207,69134.3781,0.0146,131072.0000,1024.0000,0.0065,1.8959,0.0460,1.8992,32,1
read,97968.6033,98202.2987,0.0104,131072.0000,1024.0000,0.0062,1.3347,0.0150,1.3379,32,1
write,73683.3588,73823.9210,0.0135,131072.0000,1024.0000,0.0065,1.7755,0.0540,1.7789,32,2
read,94632.0344,94857.4951,0.0107,131072.0000,1024.0000,0.0064,1.3818,0.0278,1.3851,32,2
write,72996.2543,73139.7215,0.0135,131072.0000,1024.0000,0.0068,1.7921,0.0708,1.7956,32,3
read,97671.6140,97921.6802,0.0103,131072.0000,1024.0000,0.0067,1.3385,0.0180,1.3420,32,3
write,68590.2527,68712.6914,0.0144,131072.0000,1024.0000,0.0066,1.9075,0.0773,1.9109,32,4
read,96755.6810,96991.3015,0.0105,131072.0000,1024.0000,0.0064,1.3514,0.0264,1.3547,32,4
