access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,86445.3700,43329.3873,0.0235,131072.0000,2048.0000,0.0069,1.5125,0.0970,1.5162,32,0
read,108832.2368,54571.5013,0.0185,131072.0000,2048.0000,0.0066,1.2009,0.0236,1.2043,32,0
write,91485.2951,45851.4309,0.0217,131072.0000,2048.0000,0.0066,1.4293,0.0605,1.4327,32,1
read,107141.1504,53713.4129,0.0187,131072.0000,2048.0000,0.0063,1.2201,0.0355,1.2234,32,1
write,91407.0795,45810.1137,0.0216,131072.0000,2048.0000,0.0064,1.4306,0.0679,1.4339,32,2
read,94984.1166,47603.4123,0.0206,131072.0000,2048.0000,0.0063,1.3767,0.0589,1.3799,32,2
write,81678.2885,40927.6671,0.0242,131072.0000,2048.0000,0.0067,1.6013,0.0832,1.6047,32,3
read,103886.5565,52081.2789,0.0192,131072.0000,2048.0000,0.0065,1.2583,0.0545,1.2617,32,3
write,92327.6282,46273.1089,0.0214,131072.0000,2048.0000,0.0064,1.4163,0.0571,1.4196,32,4
read,110486.4919,55393.5032,0.0182,131072.0000,2048.0000,0.0063,1.1831,0.0216,1.1863,32,4
