access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,98589.3336,12357.4045,0.0968,131072.0000,8192.0000,0.0146,1.6573,0.6739,1.6618,40,0
write,99049.2193,12406.3929,0.0948,131072.0000,8192.0000,0.0174,1.6508,0.7054,1.6541,40,1
write,95315.6637,11938.4469,0.0926,131072.0000,8192.0000,0.0120,1.7155,0.7677,1.7189,40,2
write,99883.8750,12511.0049,0.0909,131072.0000,8192.0000,0.0145,1.6370,0.7071,1.6403,40,3
write,99601.7447,12475.3281,0.0917,131072.0000,8192.0000,0.0172,1.6416,0.6937,1.6450,40,4
