access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,54594.8072,27341.4239,0.0716,131072.0000,2048.0000,0.0350,4.7939,1.7652,4.8016,64,0
write,60444.1976,30244.5530,0.0653,131072.0000,2048.0000,0.0219,4.3337,1.5635,4.3370,64,1
write,59756.8819,29900.4782,0.0667,131072.0000,2048.0000,0.0256,4.3836,1.6013,4.3868,64,2
write,59771.9908,29908.6100,0.0656,131072.0000,2048.0000,0.0185,4.3824,1.6258,4.3857,64,3
write,58114.7084,29078.0396,0.0677,131072.0000,2048.0000,0.0218,4.5076,1.5643,4.5108,64,4
