access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,40950.8370,5141.1752,0.0484,131072.0000,8192.0000,0.0065,0.7967,0.0472,0.8002,8,0
write,43794.1333,5497.3893,0.0450,131072.0000,8192.0000,0.0061,0.7451,0.0377,0.7482,8,1
write,44821.4299,5626.8754,0.0440,131072.0000,8192.0000,0.0061,0.7279,0.0277,0.7311,8,2
write,44899.7241,5636.0055,0.0439,131072.0000,8192.0000,0.0059,0.7268,0.0269,0.7298,8,3
write,44878.3187,5633.6177,0.0437,131072.0000,8192.0000,0.0060,0.7271,0.0274,0.7302,8,4
