access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,37025.1762,18547.7745,0.0236,131072.0000,2048.0000,0.0062,1.7667,0.3052,1.7700,16,0
write,43882.5824,21988.1850,0.0220,131072.0000,2048.0000,0.0062,1.4903,0.0903,1.4934,16,1
write,45068.1581,22582.4566,0.0218,131072.0000,2048.0000,0.0059,1.4510,0.0678,1.4542,16,2
write,44894.9281,22496.4716,0.0218,131072.0000,2048.0000,0.0061,1.4566,0.0669,1.4598,16,3
write,44284.1338,22188.0362,0.0223,131072.0000,2048.0000,0.0059,1.4768,0.0699,1.4799,16,4
