access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,47524.7161,23800.9407,0.0711,131072.0000,2048.0000,0.0318,4.8186,1.9051,4.8265,56,0
write,50587.8646,25312.2039,0.0658,131072.0000,2048.0000,0.0250,4.5309,1.8442,4.5342,56,1
write,49776.6210,24905.8651,0.0652,131072.0000,2048.0000,0.0208,4.6049,1.8656,4.6081,56,2
write,49604.4000,24820.5362,0.0668,131072.0000,2048.0000,0.0214,4.6207,1.9256,4.6241,56,3
write,48583.3138,24308.9656,0.0671,131072.0000,2048.0000,0.0162,4.7179,1.9724,4.7213,56,4
