access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,38810.3217,38889.9400,0.0128,131072.0000,1024.0000,0.0065,1.6852,0.0853,1.6886,16,0
write,40058.9970,40134.3839,0.0123,131072.0000,1024.0000,0.0060,1.6329,0.0614,1.6360,16,1
write,40889.2326,40966.9677,0.0123,131072.0000,1024.0000,0.0059,1.5997,0.0353,1.6028,16,2
write,39679.6655,39754.3258,0.0128,131072.0000,1024.0000,0.0059,1.6485,0.0227,1.6516,16,3
write,41128.2690,41208.5598,0.0123,131072.0000,1024.0000,0.0059,1.5903,0.0308,1.5935,16,4
