access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,85824.6383,10764.7489,0.0873,131072.0000,8192.0000,0.0121,1.5220,0.5754,1.5272,32,0
write,91526.2511,11467.6552,0.0834,131072.0000,8192.0000,0.0100,1.4287,0.5653,1.4321,32,1
write,91393.0082,11450.4179,0.0832,131072.0000,8192.0000,0.0128,1.4309,0.5594,1.4342,32,2
write,89953.9499,11269.2327,0.0840,131072.0000,8192.0000,0.0128,1.4539,0.6012,1.4571,32,3
write,89494.6538,11210.4465,0.0855,131072.0000,8192.0000,0.0116,1.4615,0.5610,1.4646,32,4
