access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,66800.4663,66940.5484,0.0147,131072.0000,1024.0000,0.0088,1.9580,0.1617,1.9621,32,0
read,92916.2976,93137.4185,0.0108,131072.0000,1024.0000,0.0066,1.4073,0.0258,1.4106,32,0
write,73772.9813,73922.1748,0.0136,131072.0000,1024.0000,0.0071,1.7731,0.0519,1.7767,32,1
read,92815.0379,93043.9274,0.0108,131072.0000,1024.0000,0.0068,1.4087,0.0325,1.4122,32,1
write,73858.3565,74000.4245,0.0136,131072.0000,1024.0000,0.0066,1.7712,0.0512,1.7746,32,2
read,65740.9121,65848.9798,0.0153,131072.0000,1024.0000,0.0064,1.9905,0.0488,1.9938,32,2
write,69498.7488,69624.5259,0.0145,131072.0000,1024.0000,0.0066,1.8826,0.0438,1.8860,32,3
read,79741.5652,79902.2106,0.0127,131072.0000,1024.0000,0.0065,1.6404,0.0208,1.6437,32,3
write,73737.1121,73876.6287,0.0137,131072.0000,1024.0000,0.0065,1.7742,0.0262,1.7776,32,4
read,93682.7424,93900.4090,0.0109,131072.0000,1024.0000,0.0063,1.3959,0.0127,1.3991,32,4
