access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,30086.9150,15077.9832,0.0255,131072.0000,2048.0000,0.0070,1.6299,0.0720,1.6337,12,0
read,39392.6030,19751.1950,0.0194,131072.0000,2048.0000,0.0067,1.2443,0.0177,1.2477,12,0
write,30283.3875,15174.1456,0.0253,131072.0000,2048.0000,0.0068,1.6196,0.0403,1.6231,12,1
read,39702.8102,19904.0119,0.0193,131072.0000,2048.0000,0.0065,1.2347,0.0123,1.2380,12,1
write,32767.8698,16421.0681,0.0234,131072.0000,2048.0000,0.0066,1.4966,0.0298,1.5000,12,2
read,39510.7783,19807.4038,0.0194,131072.0000,2048.0000,0.0064,1.2407,0.0202,1.2440,12,2
write,32564.5986,16319.2672,0.0235,131072.0000,2048.0000,0.0066,1.5059,0.0353,1.5094,12,3
read,39023.3323,19563.0014,0.0196,131072.0000,2048.0000,0.0065,1.2562,0.0177,1.2596,12,3
write,32643.8679,16357.3689,0.0235,131072.0000,2048.0000,0.0063,1.5024,0.0239,1.5057,12,4
read,39819.4418,19960.7202,0.0192,131072.0000,2048.0000,0.0062,1.2312,0.0166,1.2344,12,4
