access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,1274.1575,81567.7571,0.0047,131072.0000,16.0000,0.0135,38.5658,0.1511,38.5761,12,0
read,1462.7027,93622.4196,0.0041,131072.0000,16.0000,0.0067,33.6002,0.1545,33.6035,12,0
write,1295.1291,82896.0100,0.0046,131072.0000,16.0000,0.0069,37.9479,0.1034,37.9514,12,1
read,1439.5781,92142.2465,0.0042,131072.0000,16.0000,0.0067,34.1399,0.0831,34.1433,12,1
write,1303.2825,83417.4957,0.0046,131072.0000,16.0000,0.0064,37.7107,0.1629,37.7140,12,2
read,1443.8070,92412.3953,0.0041,131072.0000,16.0000,0.0063,34.0401,0.1204,34.0433,12,2
write,1301.8312,83324.7905,0.0046,131072.0000,16.0000,0.0066,37.7526,0.1889,37.7560,12,3
read,1442.8631,92352.1357,0.0042,131072.0000,16.0000,0.0064,34.0623,0.1287,34.0656,12,3
write,1308.2938,83738.1026,0.0046,131072.0000,16.0000,0.0063,37.5663,0.1869,37.5695,12,4
read,1444.1521,92434.2435,0.0041,131072.0000,16.0000,0.0061,34.0321,0.1535,34.0352,12,4
