access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,198128.2430,99342.0300,0.0286,131072.0000,2048.0000,0.0460,1.9791,0.3069,1.9847,96,0
read,85866.7210,42964.4241,0.0676,131072.0000,2048.0000,0.0066,4.5761,1.2528,4.5794,96,0
write,190251.0412,95286.7923,0.0291,131072.0000,2048.0000,0.0069,2.0633,0.2498,2.0668,96,1
read,91878.4356,45974.9799,0.0560,131072.0000,2048.0000,0.0065,4.2764,0.8128,4.2797,96,1
write,214294.9134,107351.1746,0.0276,131072.0000,2048.0000,0.0067,1.8314,0.1785,1.8349,96,2
read,85312.0259,42686.8620,0.0620,131072.0000,2048.0000,0.0066,4.6058,1.0745,4.6092,96,2
write,206235.1497,103314.9281,0.0287,131072.0000,2048.0000,0.0068,1.9030,0.2302,1.9066,96,3
read,92009.6236,46040.6221,0.0654,131072.0000,2048.0000,0.0065,4.2703,1.1086,4.2736,96,3
write,207529.1081,103954.0665,0.0265,131072.0000,2048.0000,0.0067,1.8913,0.2166,1.8948,96,4
read,88992.1715,44529.2820,0.0643,131072.0000,2048.0000,0.0065,4.4153,1.1634,4.4185,96,4
