access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,259738.8137,16280.3397,0.1806,131072.0000,16384.0000,0.0080,1.5096,0.0705,1.5139,96,0
read,51427.4988,3215.8358,0.8725,131072.0000,16384.0000,0.0080,7.6422,1.4041,7.6460,96,0
write,239570.9748,15004.0298,0.1935,131072.0000,16384.0000,0.0066,1.6380,0.1405,1.6413,96,1
read,58455.3007,3655.2809,0.7573,131072.0000,16384.0000,0.0065,6.7234,1.7339,6.7268,96,1
write,240695.6014,15075.4980,0.1965,131072.0000,16384.0000,0.0067,1.6302,0.1355,1.6337,96,2
read,61282.3503,3832.1029,0.6709,131072.0000,16384.0000,0.0069,6.4132,1.2404,6.4165,96,2
write,248994.1365,15593.9277,0.1922,131072.0000,16384.0000,0.0062,1.5760,0.1124,1.5792,96,3
read,51986.3670,3250.5675,0.9314,131072.0000,16384.0000,0.0066,7.5605,2.1576,7.5638,96,3
write,248565.9950,15570.8878,0.1924,131072.0000,16384.0000,0.0070,1.5783,0.1052,1.5819,96,4
read,56157.0509,3511.7351,0.8636,131072.0000,16384.0000,0.0075,6.9983,1.3363,7.0021,96,4
