access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,87859.8562,5518.2981,0.0877,131072.0000,16384.0000,0.0068,0.7423,0.0580,0.7459,16,0
read,118500.9085,7450.2381,0.0680,131072.0000,16384.0000,0.0064,0.5498,0.0191,0.5530,16,0
write,76610.8544,4806.4115,0.0990,131072.0000,16384.0000,0.0063,0.8522,0.0693,0.8554,16,1
read,116772.2999,7338.4625,0.0678,131072.0000,16384.0000,0.0061,0.5582,0.0229,0.5612,16,1
write,78390.8498,4918.8031,0.0956,131072.0000,16384.0000,0.0063,0.8327,0.0818,0.8360,16,2
read,121307.0024,7625.8854,0.0650,131072.0000,16384.0000,0.0062,0.5371,0.0174,0.5402,16,2
write,78606.3473,4934.5348,0.0959,131072.0000,16384.0000,0.0071,0.8301,0.0739,0.8337,16,3
read,115055.3880,7235.3687,0.0651,131072.0000,16384.0000,0.0069,0.5661,0.0453,0.5696,16,3
write,79354.8521,4980.2121,0.0949,131072.0000,16384.0000,0.0066,0.8225,0.0737,0.8259,16,4
read,116014.6940,7292.7851,0.0677,131072.0000,16384.0000,0.0064,0.5617,0.0259,0.5649,16,4
