access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,152624.3939,76549.6655,0.0249,131072.0000,2048.0000,0.0084,1.7122,0.1865,1.7176,64,0
read,92986.6897,46546.2469,0.0391,131072.0000,2048.0000,0.0062,2.8160,0.5755,2.8192,64,0
write,163511.4463,81937.2082,0.0242,131072.0000,2048.0000,0.0069,1.5997,0.0923,1.6032,64,1
read,100728.7322,50427.9394,0.0402,131072.0000,2048.0000,0.0065,2.5992,0.5130,2.6025,64,1
write,157978.3054,79159.8951,0.0240,131072.0000,2048.0000,0.0069,1.6558,0.1216,1.6594,64,2
read,89526.8115,44815.7044,0.0417,131072.0000,2048.0000,0.0068,2.9247,0.6054,2.9281,64,2
write,161472.2157,80902.7420,0.0242,131072.0000,2048.0000,0.0065,1.6201,0.0857,1.6235,64,3
read,95914.6737,48013.7088,0.0411,131072.0000,2048.0000,0.0063,2.7299,0.5595,2.7331,64,3
write,170385.7943,85376.1900,0.0231,131072.0000,2048.0000,0.0064,1.5352,0.0652,1.5385,64,4
read,95769.9841,47940.2324,0.0404,131072.0000,2048.0000,0.0062,2.7341,0.5231,2.7372,64,4
