access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,6957.1685,445358.1137,0.0046,131072.0000,16.0000,0.0118,37.6713,0.3484,37.6797,64,0
read,7067.2279,452345.6487,0.0045,131072.0000,16.0000,0.0070,37.0894,0.3389,37.0929,64,0
write,6956.4918,445256.9026,0.0046,131072.0000,16.0000,0.0069,37.6799,0.3489,37.6834,64,1
read,7027.4987,449800.4312,0.0045,131072.0000,16.0000,0.0066,37.2992,0.3776,37.3026,64,1
write,7064.9901,452202.0356,0.0045,131072.0000,16.0000,0.0068,37.1012,0.3915,37.1047,64,2
read,7211.0073,461547.4838,0.0044,131072.0000,16.0000,0.0066,36.3499,0.3836,36.3533,64,2
write,7062.5559,452046.6275,0.0045,131072.0000,16.0000,0.0068,37.1139,0.4207,37.1174,64,3
read,7264.0622,464944.4258,0.0044,131072.0000,16.0000,0.0067,36.0843,0.3881,36.0878,64,3
write,7119.6812,455701.0355,0.0045,131072.0000,16.0000,0.0064,36.8163,0.4390,36.8196,64,4
read,7264.2330,464952.8125,0.0044,131072.0000,16.0000,0.0063,36.0837,0.4381,36.0869,64,4
