access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,66133.3115,4154.1754,0.0901,131072.0000,16384.0000,0.0070,0.7395,0.0497,0.7432,12,0
read,88682.8035,5576.4505,0.0677,131072.0000,16384.0000,0.0066,0.5509,0.0230,0.5542,12,0
write,60072.1507,3769.7914,0.0994,131072.0000,16384.0000,0.0065,0.8149,0.0793,0.8182,12,1
read,88759.5102,5579.2152,0.0681,131072.0000,16384.0000,0.0062,0.5506,0.0307,0.5538,12,1
write,59029.5414,3704.2260,0.1013,131072.0000,16384.0000,0.0064,0.8293,0.0998,0.8327,12,2
read,87366.1138,5491.1878,0.0684,131072.0000,16384.0000,0.0062,0.5594,0.0215,0.5626,12,2
write,59138.4725,3711.3052,0.1006,131072.0000,16384.0000,0.0066,0.8277,0.0962,0.8311,12,3
read,90981.9382,5720.5110,0.0660,131072.0000,16384.0000,0.0064,0.5370,0.0204,0.5402,12,3
write,59642.2451,3743.4520,0.0999,131072.0000,16384.0000,0.0067,0.8206,0.0892,0.8241,12,4
read,90616.8198,5698.3869,0.0666,131072.0000,16384.0000,0.0065,0.5391,0.0167,0.5424,12,4
