access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,10595.4566,678209.5157,0.0045,131072.0000,16.0000,0.0091,37.1063,0.4007,37.1118,96,0
read,10580.9009,677244.1418,0.0043,131072.0000,16.0000,0.0073,37.1592,1.7881,37.1628,96,0
write,10817.9647,692413.8230,0.0044,131072.0000,16.0000,0.0067,36.3451,0.3588,36.3484,96,1
read,10971.4105,702233.6356,0.0044,131072.0000,16.0000,0.0063,35.8368,0.3545,35.8401,96,1
write,10825.8150,692918.0358,0.0044,131072.0000,16.0000,0.0067,36.3186,0.3473,36.3221,96,2
read,10949.6381,700843.1493,0.0044,131072.0000,16.0000,0.0066,35.9079,0.3460,35.9113,96,2
write,10810.0669,691911.3913,0.0044,131072.0000,16.0000,0.0068,36.3715,0.2804,36.3750,96,3
read,10788.4801,690527.6015,0.0044,131072.0000,16.0000,0.0067,36.4443,0.8982,36.4478,96,3
write,10795.6072,690984.9548,0.0044,131072.0000,16.0000,0.0067,36.4202,0.3539,36.4237,96,4
read,10983.1236,702986.0585,0.0044,131072.0000,16.0000,0.0066,35.7985,0.3425,35.8018,96,4
