access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,78492.6674,39332.9695,0.0260,131072.0000,2048.0000,0.0069,1.6662,0.1496,1.6699,32,0
read,96441.2822,48340.6528,0.0211,131072.0000,2048.0000,0.0065,1.3557,0.0409,1.3591,32,0
write,84449.6879,42318.5317,0.0241,131072.0000,2048.0000,0.0067,1.5486,0.0516,1.5521,32,1
read,95652.1264,47942.0009,0.0208,131072.0000,2048.0000,0.0065,1.3670,0.0545,1.3703,32,1
write,85580.4917,42882.1135,0.0231,131072.0000,2048.0000,0.0063,1.5283,0.0910,1.5316,32,2
read,94571.7530,47394.1072,0.0209,131072.0000,2048.0000,0.0062,1.3828,0.0595,1.3860,32,2
write,90383.9430,45298.0812,0.0225,131072.0000,2048.0000,0.0065,1.4468,0.0469,1.4502,32,3
read,93693.9347,46955.0807,0.0212,131072.0000,2048.0000,0.0063,1.3957,0.0457,1.3989,32,3
write,92542.6190,46381.9362,0.0219,131072.0000,2048.0000,0.0065,1.4130,0.0344,1.4163,32,4
read,94424.9284,47323.5034,0.0216,131072.0000,2048.0000,0.0064,1.3849,0.0213,1.3881,32,4
