access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,1758.2263,112538.1454,0.0045,131072.0000,16.0000,0.0072,37.2701,0.1753,37.2739,16,0
read,1932.0883,123666.3960,0.0041,131072.0000,16.0000,0.0069,33.9163,0.1577,33.9198,16,0
write,1758.9409,112582.7198,0.0045,131072.0000,16.0000,0.0068,37.2553,0.1516,37.2588,16,1
read,1930.9923,123595.6784,0.0041,131072.0000,16.0000,0.0066,33.9357,0.1281,33.9390,16,1
write,1753.6483,112243.5571,0.0045,131072.0000,16.0000,0.0065,37.3679,0.1768,37.3712,16,2
read,1930.8884,123588.6236,0.0041,131072.0000,16.0000,0.0063,33.9376,0.1585,33.9409,16,2
write,1754.3796,112291.0127,0.0045,131072.0000,16.0000,0.0069,37.3521,0.1704,37.3557,16,3
read,1701.7106,108919.2192,0.0047,131072.0000,16.0000,0.0067,38.5084,0.2642,38.5118,16,3
write,1647.2353,105431.8452,0.0048,131072.0000,16.0000,0.0065,39.7821,1.3122,39.7855,16,4
read,1738.6519,111283.4341,0.0046,131072.0000,16.0000,0.0064,37.6903,0.5994,37.6936,16,4
