access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,40798.1869,20448.8779,0.0245,131072.0000,2048.0000,0.0074,1.6024,0.0620,1.6063,16,0
read,49762.3394,24948.5475,0.0203,131072.0000,2048.0000,0.0070,1.3134,0.0262,1.3170,16,0
write,44455.5419,22280.1345,0.0228,131072.0000,2048.0000,0.0068,1.4707,0.0247,1.4742,16,1
read,52870.8764,26505.7117,0.0191,131072.0000,2048.0000,0.0065,1.2363,0.0241,1.2395,16,1
write,44271.3883,22186.2310,0.0227,131072.0000,2048.0000,0.0065,1.4770,0.0373,1.4803,16,2
read,48325.6441,24220.9725,0.0207,131072.0000,2048.0000,0.0064,1.3529,0.0447,1.3561,16,2
write,42658.3034,21379.0816,0.0237,131072.0000,2048.0000,0.0069,1.5327,0.0243,1.5363,16,3
read,52378.2588,26261.7303,0.0195,131072.0000,2048.0000,0.0068,1.2477,0.0204,1.2512,16,3
write,42603.4005,21347.8302,0.0240,131072.0000,2048.0000,0.0064,1.5350,0.0262,1.5383,16,4
read,53703.9996,26922.4410,0.0190,131072.0000,2048.0000,0.0062,1.2171,0.0178,1.2203,16,4
