access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,134172.3924,134429.1684,0.0144,131072.0000,1024.0000,0.0069,1.9501,0.1143,1.9538,64,0
read,163314.8430,163648.7294,0.0121,131072.0000,1024.0000,0.0067,1.6019,0.0558,1.6051,64,0
write,149430.6918,149728.4799,0.0132,131072.0000,1024.0000,0.0069,1.7508,0.0571,1.7543,64,1
read,161386.6316,161716.7634,0.0122,131072.0000,1024.0000,0.0065,1.6210,0.0672,1.6243,64,1
write,139409.8250,139661.5980,0.0141,131072.0000,1024.0000,0.0066,1.8770,0.0826,1.8804,64,2
read,105725.8198,105866.2092,0.0136,131072.0000,1024.0000,0.0065,2.4762,0.7511,2.4795,64,2
write,145234.0651,145507.7588,0.0134,131072.0000,1024.0000,0.0066,1.8016,0.0825,1.8050,64,3
read,164045.5652,164380.2866,0.0122,131072.0000,1024.0000,0.0064,1.5947,0.0439,1.5980,64,3
write,148838.2318,149123.7297,0.0133,131072.0000,1024.0000,0.0065,1.7579,0.0671,1.7613,64,4
read,164624.0171,164992.5680,0.0122,131072.0000,1024.0000,0.0081,1.5888,0.0504,1.5924,64,4
