access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,251993.4956,15838.0462,0.1261,131072.0000,16384.0000,0.0092,1.0345,0.0637,1.0403,64,0
read,50282.4443,3144.7525,0.6276,131072.0000,16384.0000,0.0068,5.2099,0.9529,5.2134,64,0
write,229927.4858,14415.0848,0.1383,131072.0000,16384.0000,0.0069,1.1366,0.1550,1.1401,64,1
read,54260.1906,3393.6010,0.5628,131072.0000,16384.0000,0.0066,4.8279,0.9260,4.8312,64,1
write,230146.9006,14430.1197,0.1386,131072.0000,16384.0000,0.0070,1.1354,0.2515,1.1390,64,2
read,58081.0779,3632.8546,0.5192,131072.0000,16384.0000,0.0069,4.5100,0.8440,4.5134,64,2
write,229729.9908,14402.6555,0.1392,131072.0000,16384.0000,0.0068,1.1376,0.2554,1.1411,64,3
read,54251.8910,3393.0836,0.5557,131072.0000,16384.0000,0.0066,4.8286,1.0939,4.8320,64,3
write,220014.5330,13791.4566,0.1440,131072.0000,16384.0000,0.0068,1.1880,0.2380,1.1915,64,4
read,55996.9718,3502.3086,0.5680,131072.0000,16384.0000,0.0066,4.6781,1.0846,4.6814,64,4
