access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,25706.5624,25758.2802,0.0149,131072.0000,1024.0000,0.0072,1.9082,0.0684,1.9120,12,0
read,35735.5759,35824.8680,0.0107,131072.0000,1024.0000,0.0068,1.3720,0.0155,1.3754,12,0
write,26776.7571,26827.9833,0.0143,131072.0000,1024.0000,0.0069,1.8321,0.0207,1.8356,12,1
read,35554.2179,35640.5591,0.0107,131072.0000,1024.0000,0.0066,1.3791,0.0168,1.3825,12,1
write,25604.8414,25650.8863,0.0149,131072.0000,1024.0000,0.0067,1.9162,0.0258,1.9196,12,2
read,34101.8601,34181.2779,0.0112,131072.0000,1024.0000,0.0066,1.4380,0.0125,1.4413,12,2
write,26737.2650,26785.2598,0.0143,131072.0000,1024.0000,0.0064,1.8350,0.0175,1.8383,12,3
read,35792.5189,35875.6458,0.0107,131072.0000,1024.0000,0.0063,1.3701,0.0150,1.3732,12,3
write,26849.1881,26898.8950,0.0143,131072.0000,1024.0000,0.0066,1.8273,0.0247,1.8307,12,4
read,35626.9658,35711.5577,0.0107,131072.0000,1024.0000,0.0064,1.3764,0.0122,1.3796,12,4
