access,IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter,nnodes,seg,bw(GiB/s)
write,143285.6389,0.0088,131072.0,16.0,0.0259,73.1808,37.2572,73.1887,40,0,1,32,2.18613056640625
write,143623.4788,0.0088,131072.0,16.0,0.0221,73.0087,37.19,73.0118,40,1,1,32,2.1914259765625
write,143668.9313,0.0089,131072.0,16.0,0.022,72.9856,37.2681,72.9887,40,2,1,32,2.19212119140625
write,143628.6504,0.0089,131072.0,16.0,0.0224,73.006,37.3259,73.0093,40,3,1,32,2.1915009765625
write,143463.4528,0.0088,131072.0,16.0,0.0222,73.0901,37.291,73.0933,40,4,1,32,2.18898212890625
write,157070.2402,0.0175,131072.0,16.0,0.031,146.8685,39.3921,146.8727,88,0,1,32,2.39663408203125
write,160032.9847,0.0171,131072.0,16.0,0.0389,144.1495,38.8577,144.1527,88,1,1,32,2.44185537109375
write,159891.0421,0.0176,131072.0,16.0,0.0471,144.2775,37.9062,144.2807,88,2,1,32,2.43968916015625
write,159811.2626,0.0172,131072.0,16.0,0.031,144.3495,38.1407,144.3527,88,3,1,32,2.43847236328125
write,159744.945,0.0176,131072.0,16.0,0.0554,144.4094,38.1083,144.4127,88,4,1,32,2.437458984375
write,172764.6651,0.0086,131072.0,16.0,0.0229,72.8327,2.5139,72.8367,48,0,1,32,2.63603447265625
write,173199.5577,0.0087,131072.0,16.0,0.0271,72.6498,3.0333,72.6534,48,1,1,32,2.64268564453125
write,172166.1882,0.0089,131072.0,16.0,0.0229,73.0858,2.5773,73.089,48,2,1,32,2.62693447265625
write,173036.5935,0.0089,131072.0,16.0,0.0232,72.7182,1.9935,72.7215,48,3,1,32,2.640209765625
write,173161.288,0.0088,131072.0,16.0,0.0304,72.6658,0.9648,72.6693,48,4,1,32,2.642107421875
write,140452.2294,0.0182,131072.0,16.0,0.0389,149.3143,41.4311,149.3182,80,0,1,32,2.1430736328125
write,142038.7487,0.018,131072.0,16.0,0.0481,147.6465,42.711,147.6496,80,1,1,32,2.16729287109375
write,143195.7926,0.0177,131072.0,16.0,0.0381,146.4535,40.8051,146.4566,80,2,1,32,2.18494716796875
write,143223.2024,0.0177,131072.0,16.0,0.0303,146.4254,39.5415,146.4287,80,3,1,32,2.1853642578125
write,143513.2191,0.0177,131072.0,16.0,0.0294,146.1295,39.3318,146.1327,80,4,1,32,2.18979052734375
write,173221.8613,0.0131,131072.0,16.0,0.035,108.9607,4.047,108.9646,72,0,1,32,2.64306044921875
write,173226.9185,0.0132,131072.0,16.0,0.0317,108.9575,2.3698,108.9607,72,1,1,32,2.6431548828125
write,172195.9207,0.0134,131072.0,16.0,0.0347,109.6098,2.3892,109.613,72,2,1,32,2.62742578125
write,172518.2539,0.0134,131072.0,16.0,0.0303,109.405,2.2145,109.4083,72,3,1,32,2.6323419921875
write,173106.0384,0.0132,131072.0,16.0,0.0406,109.0336,1.9199,109.0367,72,4,1,32,2.64131357421875
write,175073.1943,0.0173,131072.0,16.0,0.0351,143.7446,6.5383,143.7487,96,0,1,32,2.67132861328125
write,173463.7103,0.0177,131072.0,16.0,0.0402,145.0783,4.5727,145.0817,96,1,1,32,2.646784765625
write,173287.6482,0.0177,131072.0,16.0,0.039,145.2257,3.3379,145.2289,96,2,1,32,2.64410087890625
write,173326.5157,0.0177,131072.0,16.0,0.0356,145.1932,3.0488,145.1963,96,3,1,32,2.6446955078125
write,174383.1532,0.0175,131072.0,16.0,0.0506,144.3134,2.1771,144.3167,96,4,1,32,2.660815234375
write,153209.877,0.0129,131072.0,16.0,0.031,109.5048,40.4365,109.5086,64,0,1,32,2.33771591796875
write,153360.2096,0.0131,131072.0,16.0,0.0303,109.3975,39.2494,109.4007,64,1,1,32,2.34002216796875
write,153230.445,0.0132,131072.0,16.0,0.0383,109.4901,38.1277,109.4934,64,2,1,32,2.33804140625
write,153382.6059,0.0132,131072.0,16.0,0.0301,109.3815,38.0931,109.3846,64,3,1,32,2.3403650390625
write,153410.6454,0.0132,131072.0,16.0,0.0381,109.3615,38.0674,109.3647,64,4,1,32,2.34079248046875
write,132738.6306,0.0133,131072.0,16.0,0.031,110.5938,40.5753,110.5975,56,0,1,32,2.02536162109375
write,132590.3585,0.0133,131072.0,16.0,0.035,110.7174,39.201,110.7207,56,1,1,32,2.02310927734375
write,132451.6672,0.0133,131072.0,16.0,0.0264,110.8334,39.2726,110.8367,56,2,1,32,2.02099140625
write,132811.0229,0.0133,131072.0,16.0,0.038,110.5335,39.041,110.5366,56,3,1,32,2.026477734375
write,132504.1716,0.0133,131072.0,16.0,0.0302,110.7894,39.3678,110.7927,56,4,1,32,2.0217943359375
write,113622.0285,0.0089,131072.0,16.0,0.021,73.8291,37.9001,73.8327,32,0,1,32,1.73365029296875
write,112892.5996,0.009,131072.0,16.0,0.023,74.3061,38.4034,74.3093,32,1,1,32,1.72253046875
write,112990.6882,0.009,131072.0,16.0,0.0225,74.2416,38.3609,74.2447,32,2,1,32,1.72402900390625
write,112971.5301,0.009,131072.0,16.0,0.0231,74.2542,38.348,74.2573,32,3,1,32,1.7237353515625
write,113123.0609,0.009,131072.0,16.0,0.019,74.1547,38.3092,74.1579,32,4,1,32,1.726046484375
write,55875.3001,0.0046,131072.0,16.0,0.0095,37.5327,0.1452,37.5393,8,0,1,32,0.852439453125
write,56559.5383,0.0045,131072.0,16.0,0.0059,37.0787,0.1522,37.0817,8,1,1,32,0.86296015625
write,56441.6928,0.0045,131072.0,16.0,0.006,37.1561,0.1163,37.1591,8,2,1,32,0.8611623046875
write,55770.5862,0.0046,131072.0,16.0,0.0062,37.6032,0.0469,37.6063,8,3,1,32,0.8509216796875
write,56113.8287,0.0045,131072.0,16.0,0.0061,37.3732,0.1191,37.3763,8,4,1,32,0.8561564453125
write,173417.8443,0.0044,131072.0,16.0,0.0065,36.2792,0.2135,36.2826,24,0,1,32,2.645894140625
write,174113.9954,0.0044,131072.0,16.0,0.0061,36.1341,0.2083,36.1372,24,1,1,32,2.656541796875
write,173676.7824,0.0044,131072.0,16.0,0.0061,36.2251,0.2159,36.2282,24,2,1,32,2.64987294921875
write,173635.8804,0.0044,131072.0,16.0,0.006,36.2336,0.228,36.2367,24,3,1,32,2.649249609375
write,173687.114,0.0044,131072.0,16.0,0.0061,36.2229,0.207,36.226,24,4,1,32,2.65002763671875
write,114763.0356,0.0044,131072.0,16.0,0.0063,36.5475,0.1933,36.5509,16,0,1,32,1.750982421875
write,115217.2304,0.0044,131072.0,16.0,0.0061,36.4034,0.1745,36.4066,16,1,1,32,1.7579224609375
write,115050.0599,0.0044,131072.0,16.0,0.0059,36.4563,0.1741,36.4593,16,2,1,32,1.7553806640625
write,115133.6267,0.0044,131072.0,16.0,0.0061,36.4299,0.1532,36.433,16,3,1,32,1.7566498046875
write,115386.6273,0.0044,131072.0,16.0,0.0059,36.35,0.155,36.353,16,4,1,32,1.7605125
write,18548.6131,0.0136,131072.0,1024.0,0.0065,1.7666,0.1038,1.7701,8,0,1,32,18.0784826171875
write,19269.3536,0.0131,131072.0,1024.0,0.0062,1.7005,0.0611,1.7037,8,1,1,32,18.78224140625
write,19032.3075,0.0133,131072.0,1024.0,0.0061,1.7217,0.0367,1.7248,8,2,1,32,18.552348828125
write,19689.4326,0.0129,131072.0,1024.0,0.0061,1.6642,0.0342,1.6674,8,3,1,32,19.19168330078125
write,19875.8981,0.0128,131072.0,1024.0,0.006,1.6486,0.0208,1.6517,8,4,1,32,19.37354462890625
write,45607.2023,0.029,131072.0,1024.0,0.0146,4.3109,0.8693,4.3145,48,0,1,32,44.50088603515625
write,50696.5836,0.0266,131072.0,1024.0,0.0135,3.8781,0.5246,3.8814,48,1,1,32,49.46712041015625
write,52897.0856,0.0267,131072.0,1024.0,0.0161,3.7168,0.384,3.7201,48,2,1,32,51.61129521484375
write,55425.2203,0.0262,131072.0,1024.0,0.0183,3.5473,0.239,3.5507,48,3,1,32,54.0742556640625
write,47102.0579,0.0262,131072.0,1024.0,0.0153,4.1741,0.8701,4.1775,48,4,1,32,45.96066787109375
write,31069.2434,0.0307,131072.0,1024.0,0.0124,4.2187,2.6422,4.2223,32,0,1,32,30.315187890625
write,32458.3639,0.0301,131072.0,1024.0,0.0149,4.0382,2.1543,4.0414,32,1,1,32,31.67197451171875
write,36485.4684,0.0269,131072.0,1024.0,0.0186,3.5924,2.0204,3.5958,32,2,1,32,35.5972349609375
write,36647.0234,0.0264,131072.0,1024.0,0.0134,3.5766,2.0215,3.5799,32,3,1,32,35.75565751953125
write,36225.9761,0.0264,131072.0,1024.0,0.0142,3.6182,2.0672,3.6213,32,4,1,32,35.34605966796875
write,38838.2594,0.0499,131072.0,1024.0,0.0236,6.7496,2.518,6.753,64,0,1,32,37.90915625
write,47246.2446,0.0404,131072.0,1024.0,0.0193,5.5485,2.1916,5.5517,64,1,1,32,46.111628515625
write,47585.7335,0.0404,131072.0,1024.0,0.0218,5.5089,2.1695,5.512,64,2,1,32,46.44374150390625
write,45406.4248,0.0407,131072.0,1024.0,0.0177,5.7733,2.4883,5.7765,64,3,1,32,44.31733974609375
write,46939.379,0.0409,131072.0,1024.0,0.0264,5.5847,2.3235,5.588,64,4,1,32,45.81216943359375
write,36200.3517,0.0482,131072.0,1024.0,0.0219,6.3363,2.4877,6.3404,56,0,1,32,35.32920732421875
write,40190.7922,0.0424,131072.0,1024.0,0.0186,5.7072,2.0979,5.7104,56,1,1,32,39.2265375
write,42207.8919,0.0412,131072.0,1024.0,0.0226,5.4344,2.1487,5.4378,56,2,1,32,41.19284111328125
write,41654.1742,0.0406,131072.0,1024.0,0.02,5.5067,2.1473,5.5099,56,3,1,32,40.65405771484375
write,41559.5272,0.0411,131072.0,1024.0,0.0181,5.5192,2.2217,5.5224,56,4,1,32,40.5618177734375
write,40767.2263,0.0621,131072.0,1024.0,0.0251,8.0378,2.4764,8.0414,80,0,1,32,39.794258203125
