access,IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter,nnodes,seg,bw(GiB/s)
write,4037549.6176,0.0089,131072.0,16.0,0.0536,74.7953,37.8254,74.8087,1152,0,16,32,61.5971259765625
write,4097641.7632,0.0088,131072.0,16.0,0.0665,73.6985,36.7992,73.7113,1152,1,16,32,62.51416171875
write,3874431.8217,0.0093,131072.0,16.0,0.071,77.9443,42.4839,77.9615,1152,2,16,32,59.10607451171875
write,2535334.5164,0.0141,131072.0,16.0,0.0703,119.1124,47.5582,119.1186,1152,3,16,32,38.68413798828125
write,2514762.9064,0.0133,131072.0,16.0,0.0596,120.0868,54.7082,120.1002,1152,4,16,32,38.36795322265625
write,3522635.2566,0.0114,131072.0,16.0,0.0677,95.2538,47.6006,95.2642,1280,0,16,32,53.7452875
write,3573034.3801,0.0112,131072.0,16.0,0.0932,93.9102,49.6077,93.933,1280,1,16,32,54.50691025390625
write,2843705.6808,0.0135,131072.0,16.0,0.0585,117.9954,73.3537,118.0128,1280,2,16,32,43.38513125
write,3842550.094,0.0099,131072.0,16.0,0.0807,87.3233,45.1464,87.345,1280,3,16,32,58.61814619140625
write,1783172.0188,0.0209,131072.0,16.0,0.0637,188.1727,148.2828,188.1865,1280,4,16,32,27.20705908203125
write,5016548.7465,0.0049,131072.0,16.0,0.0097,40.1325,0.9543,40.1389,768,0,16,32,76.5343166015625
write,5185961.0851,0.0045,131072.0,16.0,0.0063,38.8215,2.0406,38.8247,768,1,16,32,79.12484638671874
write,5184537.2153,0.0045,131072.0,16.0,0.0064,38.8321,2.0068,38.8354,768,2,16,32,79.10309052734375
write,5342928.7036,0.0044,131072.0,16.0,0.0064,37.6809,1.9752,37.6842,768,3,16,32,81.5196474609375
write,2753055.5182,0.0084,131072.0,16.0,0.0063,73.1284,8.7606,73.1316,768,4,16,32,42.00644208984375
write,4525170.9296,0.0098,131072.0,16.0,0.0489,81.5657,37.2374,81.5795,1408,0,16,32,69.03698544921875
write,5037043.2409,0.0088,131072.0,16.0,0.0964,73.2769,36.6394,73.2966,1408,1,16,32,76.83853095703125
write,2243869.8926,0.0185,131072.0,16.0,0.0409,164.492,104.5834,164.4967,1408,2,16,32,34.23777353515625
write,987622.723,0.0436,131072.0,16.0,0.0832,373.7244,133.5562,373.7472,1408,3,16,32,15.0690095703125
write,1059710.9548,0.0413,131072.0,16.0,0.0727,348.3013,103.5821,348.3206,1408,4,16,32,16.1690119140625
write,4342316.301,0.0047,131072.0,16.0,0.0101,38.6366,0.5214,38.6435,640,0,16,32,66.24650185546875
write,4522748.3505,0.0045,131072.0,16.0,0.0064,37.0952,0.5664,37.0985,640,1,16,32,69.00555634765625
write,4523955.9525,0.0045,131072.0,16.0,0.0063,37.0853,0.5015,37.0884,640,2,16,32,69.02420234375
write,4539552.7691,0.0044,131072.0,16.0,0.0062,36.9579,1.3198,36.961,640,3,16,32,69.26221591796875
write,1897487.0074,0.0104,131072.0,16.0,0.0062,88.4181,8.4818,88.4212,640,4,16,32,28.9523208984375
write,937667.3621,0.0044,131072.0,16.0,0.007,35.785,0.331,35.7891,128,0,16,32,14.30604365234375
write,935822.3368,0.0044,131072.0,16.0,0.0069,35.8556,0.3028,35.8591,128,1,16,32,14.2781046875
write,938295.4923,0.0043,131072.0,16.0,0.0064,35.761,0.3041,35.7643,128,2,16,32,14.31594072265625
write,939767.302,0.0043,131072.0,16.0,0.0064,35.705,0.2361,35.7084,128,3,16,32,14.33837666015625
write,942595.0594,0.0043,131072.0,16.0,0.0062,35.5979,0.307,35.6011,128,4,16,32,14.38158251953125
