access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,21543.2970,10796.2137,0.0237,131072.0000,2048.0000,0.0065,1.5176,0.0656,1.5210,8,0
write,22650.5150,11348.8856,0.0219,131072.0000,2048.0000,0.0058,1.4437,0.0531,1.4467,8,1
write,22913.0836,11481.8628,0.0218,131072.0000,2048.0000,0.0060,1.4269,0.0447,1.4301,8,2
write,22693.7609,11371.1276,0.0225,131072.0000,2048.0000,0.0059,1.4408,0.0175,1.4439,8,3
write,23230.8177,11641.2070,0.0219,131072.0000,2048.0000,0.0060,1.4074,0.0167,1.4105,8,4
