access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,3132.2039,200481.2729,0.0088,131072.0000,16.0000,0.0272,73.2241,37.5372,73.2315,56,0
write,3113.8995,199298.4052,0.0089,131072.0000,16.0000,0.0213,73.6587,38.1368,73.6620,56,1
write,3118.1318,199569.3725,0.0089,131072.0000,16.0000,0.0193,73.5587,38.1056,73.5620,56,2
write,3119.3261,199645.1422,0.0089,131072.0000,16.0000,0.0220,73.5308,38.0510,73.5338,56,3
write,3115.1143,199376.3347,0.0089,131072.0000,16.0000,0.0253,73.6299,38.1050,73.6333,56,4
