access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,4908.5057,314175.0008,0.0087,131072.0000,16.0000,0.0264,73.4262,37.1811,73.4333,88,0
write,4975.2172,318428.0451,0.0088,131072.0000,16.0000,0.0231,72.4455,36.3304,72.4487,88,1
write,5038.0816,322452.1854,0.0087,131072.0000,16.0000,0.0303,71.5414,36.4855,71.5447,88,2
write,5030.7666,321983.2656,0.0087,131072.0000,16.0000,0.0222,71.6456,36.6047,71.6487,88,3
write,5038.3290,322468.0183,0.0087,131072.0000,16.0000,0.0251,71.5379,36.4808,71.5412,88,4
