access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,60712.4640,30392.3053,0.0583,131072.0000,2048.0000,0.0302,6.4690,3.8018,6.4767,96,0
write,85239.9527,42650.0982,0.0535,131072.0000,2048.0000,0.0208,4.6098,1.7050,4.6130,96,1
write,64438.9478,32237.3621,0.0545,131072.0000,2048.0000,0.0156,6.0988,3.5435,6.1021,96,2
write,81399.6014,40726.5767,0.0552,131072.0000,2048.0000,0.0180,4.8275,1.7546,4.8307,96,3
write,107217.7046,53655.8444,0.0544,131072.0000,2048.0000,0.0181,3.6642,0.3498,3.6675,96,4
