access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,39688.5744,19886.0757,0.0257,131072.0000,2048.0000,0.0065,1.6478,0.2286,1.6513,16,0
write,43740.5012,21916.8409,0.0227,131072.0000,2048.0000,0.0062,1.4951,0.1037,1.4983,16,1
write,45521.2313,22807.3449,0.0222,131072.0000,2048.0000,0.0057,1.4367,0.0482,1.4397,16,2
write,45392.4612,22744.9274,0.0222,131072.0000,2048.0000,0.0059,1.4407,0.0480,1.4438,16,3
write,43963.2386,22026.5076,0.0231,131072.0000,2048.0000,0.0058,1.4877,0.0388,1.4907,16,4
