access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,85825.0858,42996.1679,0.0282,131072.0000,2048.0000,0.0070,1.9053,0.3634,1.9090,40,0
write,91980.7695,46070.3519,0.0268,131072.0000,2048.0000,0.0060,1.7782,0.2023,1.7812,40,1
write,93075.7289,46621.8487,0.0268,131072.0000,2048.0000,0.0060,1.7571,0.1743,1.7603,40,2
write,93077.9477,46623.5188,0.0268,131072.0000,2048.0000,0.0060,1.7571,0.1478,1.7602,40,3
write,94689.8680,47433.9807,0.0267,131072.0000,2048.0000,0.0062,1.7270,0.1199,1.7303,40,4
