access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,91805.3750,11498.1733,0.1619,131072.0000,8192.0000,0.0216,3.5623,1.6681,3.5693,80,0
write,87509.6994,10948.5082,0.1536,131072.0000,8192.0000,0.0199,3.7411,1.7310,3.7445,80,1
write,84897.4394,10621.3186,0.1528,131072.0000,8192.0000,0.0160,3.8564,2.5610,3.8597,80,2
write,88449.2323,11065.6824,0.1513,131072.0000,8192.0000,0.0149,3.7015,1.7663,3.7047,80,3
write,93105.9060,11649.0053,0.1545,131072.0000,8192.0000,0.0191,3.5162,1.5238,3.5194,80,4
