access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,44793.4264,2813.0130,0.0884,131072.0000,16384.0000,0.0065,0.7280,0.0513,0.7315,8,0
write,45468.5451,2853.8861,0.0874,131072.0000,16384.0000,0.0059,0.7176,0.0490,0.7207,8,1
write,46626.0021,2927.1527,0.0857,131072.0000,16384.0000,0.0060,0.6997,0.0386,0.7028,8,2
write,46303.9296,2906.7333,0.0857,131072.0000,16384.0000,0.0060,0.7046,0.0263,0.7077,8,3
write,47706.6027,2995.2158,0.0829,131072.0000,16384.0000,0.0060,0.6838,0.0296,0.6869,8,4
