access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,55409.9529,55467.0957,0.0357,131072.0000,1024.0000,0.0278,7.0892,4.6277,7.0965,96,0
write,86681.7936,86743.1170,0.0331,131072.0000,1024.0000,0.0205,4.5331,0.8055,4.5363,96,1
write,82227.1540,82284.0176,0.0325,131072.0000,1024.0000,0.0193,4.7788,1.0949,4.7821,96,2
write,65176.7252,65212.0906,0.0326,131072.0000,1024.0000,0.0153,6.0298,3.3935,6.0331,96,3
write,85101.1152,85161.4574,0.0344,131072.0000,1024.0000,0.0181,4.6173,0.8522,4.6206,96,4
