access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,84379.9984,10564.5395,0.1156,131072.0000,8192.0000,0.0118,3.1017,1.5343,3.1067,64,0
write,84555.5729,10580.2788,0.1912,131072.0000,8192.0000,0.0149,3.0971,1.9042,3.1003,64,1
write,84552.3803,10580.0833,0.1064,131072.0000,8192.0000,0.0350,3.0971,1.9512,3.1004,64,2
write,87351.6629,10931.1159,0.1189,131072.0000,8192.0000,0.0402,2.9977,1.3363,3.0010,64,3
write,81690.6561,10221.5312,0.1195,131072.0000,8192.0000,0.0299,3.2058,1.9631,3.2090,64,4
