access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,94622.9574,11846.4898,0.1019,131072.0000,8192.0000,0.0177,2.4203,0.9844,2.4241,56,0
write,99425.5327,12446.4478,0.1166,131072.0000,8192.0000,0.0145,2.3036,1.1167,2.3070,56,1
write,96233.1349,12046.0615,0.1264,131072.0000,8192.0000,0.0834,2.3802,0.8064,2.3835,56,2
write,103647.6559,12974.8948,0.1163,131072.0000,8192.0000,0.0186,2.2098,0.7246,2.2130,56,3
write,104176.4423,13042.3312,0.1111,131072.0000,8192.0000,0.0405,2.1984,0.8336,2.2018,56,4
