access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,14498.1860,928059.4705,0.0044,131072.0000,16.0000,0.0102,36.1555,0.3272,36.1623,128,0
read,14949.8663,956884.7099,0.0042,131072.0000,16.0000,0.0067,35.0663,1.5584,35.0697,128,0
write,14530.9437,930070.1292,0.0044,131072.0000,16.0000,0.0069,36.0773,0.2687,36.0808,128,1
read,15143.1684,969256.4691,0.0041,131072.0000,16.0000,0.0065,34.6187,1.5780,34.6221,128,1
write,14501.4578,928177.6663,0.0044,131072.0000,16.0000,0.0063,36.1509,0.2953,36.1542,128,2
read,15099.5784,966462.1178,0.0041,131072.0000,16.0000,0.0062,34.7188,1.6423,34.7220,128,2
write,14535.4214,930354.5122,0.0044,131072.0000,16.0000,0.0065,36.0663,0.2346,36.0697,128,3
read,15033.8347,962255.8450,0.0041,131072.0000,16.0000,0.0064,34.8706,1.7968,34.8739,128,3
write,14508.7286,928651.6636,0.0044,131072.0000,16.0000,0.0070,36.1324,0.3446,36.1360,128,4
read,15266.8381,977177.7728,0.0041,131072.0000,16.0000,0.0069,34.3381,1.2860,34.3416,128,4
