access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,483402.3196,30400.3645,0.1293,131072.0000,16384.0000,0.0099,1.0779,0.1154,1.0846,128,0
read,78135.2728,4885.8902,0.8299,131072.0000,16384.0000,0.0065,6.7067,1.1656,6.7100,128,0
write,428193.3325,26838.6654,0.1440,131072.0000,16384.0000,0.0069,1.2209,0.1220,1.2244,128,1
read,89982.7821,5627.1178,0.6891,131072.0000,16384.0000,0.0065,5.8232,1.1219,5.8265,128,1
write,454180.2743,28476.7011,0.1373,131072.0000,16384.0000,0.0071,1.1507,0.1135,1.1544,128,2
read,95722.2678,5986.4236,0.6618,131072.0000,16384.0000,0.0069,5.4737,1.0894,5.4772,128,2
write,452896.5311,28392.2192,0.1365,131072.0000,16384.0000,0.0067,1.1541,0.1185,1.1576,128,3
read,96101.2227,6009.9848,0.6164,131072.0000,16384.0000,0.0066,5.4523,1.0811,5.4556,128,3
write,444980.8463,27890.4168,0.1391,131072.0000,16384.0000,0.0065,1.1749,0.1101,1.1782,128,4
read,89681.2095,5608.1479,0.7020,131072.0000,16384.0000,0.0063,5.8429,1.8302,5.8461,128,4
