access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,81163.1586,40674.4160,0.0232,131072.0000,2048.0000,0.0068,1.6112,0.1678,1.6149,32,0
read,107784.2467,54038.5954,0.0184,131072.0000,2048.0000,0.0064,1.2128,0.0402,1.2161,32,0
write,89137.4013,44673.1781,0.0220,131072.0000,2048.0000,0.0067,1.4670,0.0923,1.4704,32,1
read,108881.2520,54589.0039,0.0185,131072.0000,2048.0000,0.0064,1.2005,0.0192,1.2038,32,1
write,90025.6874,45119.9792,0.0221,131072.0000,2048.0000,0.0067,1.4525,0.0683,1.4559,32,2
read,108122.8274,54210.9468,0.0184,131072.0000,2048.0000,0.0065,1.2089,0.0316,1.2123,32,2
write,84149.9216,42167.3306,0.0234,131072.0000,2048.0000,0.0066,1.5542,0.0714,1.5576,32,3
read,106543.2904,53413.5761,0.0189,131072.0000,2048.0000,0.0064,1.2270,0.0426,1.2302,32,3
write,91062.1275,45642.4946,0.0215,131072.0000,2048.0000,0.0068,1.4359,0.0787,1.4394,32,4
read,106835.3317,53565.8044,0.0187,131072.0000,2048.0000,0.0066,1.2235,0.0348,1.2269,32,4
