access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,7185.6592,459929.0779,0.0044,131072.0000,16.0000,0.0069,36.4778,0.2689,36.4816,64,0
read,7841.4326,501901.8166,0.0041,131072.0000,16.0000,0.0066,33.4273,0.2447,33.4306,64,0
write,7169.0739,458864.0004,0.0044,131072.0000,16.0000,0.0068,36.5625,0.2798,36.5660,64,1
read,7845.8326,502183.6041,0.0041,131072.0000,16.0000,0.0065,33.4085,0.2649,33.4119,64,1
write,7165.6234,458640.3540,0.0045,131072.0000,16.0000,0.0062,36.5803,0.3091,36.5836,64,2
read,7850.5638,502482.8048,0.0041,131072.0000,16.0000,0.0061,33.3886,0.2919,33.3917,64,2
write,7155.1743,457974.8967,0.0044,131072.0000,16.0000,0.0067,36.6335,0.3385,36.6370,64,3
read,7845.5219,502164.0659,0.0041,131072.0000,16.0000,0.0066,33.4098,0.3146,33.4132,64,3
write,7153.4128,457860.1486,0.0045,131072.0000,16.0000,0.0064,36.6427,0.3188,36.6460,64,4
read,7846.9357,502253.2687,0.0041,131072.0000,16.0000,0.0064,33.4039,0.2964,33.4072,64,4
