access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,57787.0606,28955.7792,0.0248,131072.0000,2048.0000,0.0069,1.6975,0.1910,1.7011,24,0
read,79322.8992,39771.0159,0.0192,131072.0000,2048.0000,0.0066,1.2359,0.0223,1.2393,24,0
write,66782.8411,33472.5539,0.0226,131072.0000,2048.0000,0.0070,1.4684,0.0542,1.4720,24,1
read,73382.4417,36784.6105,0.0208,131072.0000,2048.0000,0.0067,1.3362,0.0303,1.3396,24,1
write,66478.3047,33316.7734,0.0226,131072.0000,2048.0000,0.0067,1.4753,0.0601,1.4787,24,2
read,78870.7917,39540.8785,0.0192,131072.0000,2048.0000,0.0065,1.2431,0.0334,1.2464,24,2
write,65182.8405,32666.0163,0.0231,131072.0000,2048.0000,0.0067,1.5047,0.0602,1.5081,24,3
read,77642.6633,38923.0877,0.0195,131072.0000,2048.0000,0.0065,1.2628,0.0348,1.2661,24,3
write,65933.9329,33043.1611,0.0227,131072.0000,2048.0000,0.0067,1.4875,0.0692,1.4909,24,4
read,79962.3264,40089.1298,0.0189,131072.0000,2048.0000,0.0065,1.2261,0.0335,1.2294,24,4
