access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,20706.7944,1325447.8309,0.0046,131072.0000,16.0000,0.0097,37.9733,0.4785,37.9794,192,0
read,22005.9463,1408526.3820,0.0043,131072.0000,16.0000,0.0073,35.7336,1.4210,35.7372,192,0
write,21869.4834,1399841.9607,0.0044,131072.0000,16.0000,0.0090,35.9552,0.4643,35.9602,192,1
read,22204.9017,1421250.0264,0.0041,131072.0000,16.0000,0.0067,35.4136,2.0573,35.4170,192,1
write,22015.4442,1409115.6016,0.0043,131072.0000,16.0000,0.0063,35.7186,0.3689,35.7218,192,2
read,22385.9911,1432831.6209,0.0041,131072.0000,16.0000,0.0061,35.1274,1.9019,35.1305,192,2
write,22017.6760,1409265.7706,0.0043,131072.0000,16.0000,0.0065,35.7148,0.3243,35.7182,192,3
read,22029.2180,1409998.6655,0.0041,131072.0000,16.0000,0.0064,35.6962,2.3532,35.6995,192,3
write,21995.6542,1407861.9944,0.0043,131072.0000,16.0000,0.0069,35.7504,0.4175,35.7540,192,4
read,22242.2073,1423639.2502,0.0041,131072.0000,16.0000,0.0067,35.3542,1.9491,35.3576,192,4
