access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,132217.9954,66234.0761,0.0286,131072.0000,2048.0000,0.0070,1.9789,0.4735,1.9827,64,0
read,187881.1414,94169.9223,0.0217,131072.0000,2048.0000,0.0066,1.3919,0.0430,1.3953,64,0
write,179595.2294,90009.6212,0.0222,131072.0000,2048.0000,0.0067,1.4562,0.1100,1.4596,64,1
read,198610.9533,99549.9816,0.0203,131072.0000,2048.0000,0.0064,1.3166,0.0453,1.3199,64,1
write,175709.2663,88058.3862,0.0225,131072.0000,2048.0000,0.0067,1.4885,0.1309,1.4919,64,2
read,194166.3522,97322.9461,0.0210,131072.0000,2048.0000,0.0065,1.3468,0.0283,1.3501,64,2
write,172255.6538,86317.9611,0.0225,131072.0000,2048.0000,0.0065,1.5185,0.1361,1.5218,64,3
read,201276.8870,100888.2502,0.0200,131072.0000,2048.0000,0.0063,1.2992,0.0250,1.3024,64,3
write,168296.8293,84328.1543,0.0233,131072.0000,2048.0000,0.0064,1.5543,0.1202,1.5576,64,4
read,201642.6925,101069.4987,0.0200,131072.0000,2048.0000,0.0063,1.2969,0.0294,1.3000,64,4
