access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,2620.2398,167723.5106,0.0045,131072.0000,16.0000,0.0095,37.5109,0.2631,37.5172,24,0
read,2610.0755,167059.6702,0.0046,131072.0000,16.0000,0.0066,37.6599,0.2701,37.6633,24,0
write,2619.7245,167677.9388,0.0046,131072.0000,16.0000,0.0070,37.5211,0.1847,37.5246,24,1
read,2618.1519,167576.8272,0.0046,131072.0000,16.0000,0.0066,37.5437,0.1909,37.5471,24,1
write,2644.8466,169285.2001,0.0045,131072.0000,16.0000,0.0064,37.1648,0.2249,37.1681,24,2
read,2622.9570,167883.7296,0.0046,131072.0000,16.0000,0.0063,37.4751,0.2354,37.4783,24,2
write,2640.0824,168981.5407,0.0045,131072.0000,16.0000,0.0070,37.2316,0.2418,37.2352,24,3
read,2619.2084,167644.8210,0.0046,131072.0000,16.0000,0.0069,37.5285,0.2421,37.5320,24,3
write,2643.4414,169195.7507,0.0045,131072.0000,16.0000,0.0066,37.1845,0.2047,37.1879,24,4
read,2623.4135,167913.0409,0.0046,131072.0000,16.0000,0.0064,37.4685,0.1899,37.4718,24,4
