access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,279130.9201,140092.2660,0.0270,131072.0000,2048.0000,0.0105,1.8712,0.3593,1.8783,128,0
read,239566.2073,119967.0171,0.0314,131072.0000,2048.0000,0.0066,2.1851,0.4020,2.1885,128,0
write,329142.2284,164942.9663,0.0239,131072.0000,2048.0000,0.0070,1.5893,0.1352,1.5929,128,1
read,237018.1658,118690.1269,0.0318,131072.0000,2048.0000,0.0066,2.2086,0.3653,2.2120,128,1
write,302214.6583,151407.7158,0.0260,131072.0000,2048.0000,0.0067,1.7314,0.1074,1.7348,128,2
read,220273.9939,110290.4603,0.0330,131072.0000,2048.0000,0.0065,2.3769,0.3827,2.3802,128,2
write,334198.5203,167455.9061,0.0242,131072.0000,2048.0000,0.0064,1.5655,0.0919,1.5688,128,3
read,242991.5262,121676.0494,0.0318,131072.0000,2048.0000,0.0063,2.1544,0.3067,2.1576,128,3
write,312604.8588,156626.9490,0.0246,131072.0000,2048.0000,0.0067,1.6737,0.1540,1.6772,128,4
read,239526.9089,119945.5541,0.0294,131072.0000,2048.0000,0.0065,2.1855,0.3709,2.1888,128,4
