access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,50990.0937,51088.2493,0.0139,131072.0000,1024.0000,0.0070,1.9242,0.1565,1.9279,24,0
read,71247.6399,71419.3916,0.0107,131072.0000,1024.0000,0.0066,1.3764,0.0251,1.3798,24,0
write,54727.3164,54830.5582,0.0139,131072.0000,1024.0000,0.0067,1.7929,0.0338,1.7963,24,1
read,71783.1955,71953.0090,0.0107,131072.0000,1024.0000,0.0064,1.3662,0.0137,1.3695,24,1
write,51731.5121,51819.9991,0.0146,131072.0000,1024.0000,0.0063,1.8970,0.0491,1.9003,24,2
read,64029.4676,64159.8201,0.0120,131072.0000,1024.0000,0.0062,1.5322,0.0175,1.5353,24,2
write,55246.7990,55352.6287,0.0136,131072.0000,1024.0000,0.0066,1.7760,0.0403,1.7794,24,3
read,71092.9627,71262.7739,0.0107,131072.0000,1024.0000,0.0065,1.3795,0.0249,1.3828,24,3
write,55078.3135,55180.7434,0.0137,131072.0000,1024.0000,0.0064,1.7815,0.0415,1.7848,24,4
read,72179.0802,72349.3777,0.0106,131072.0000,1024.0000,0.0063,1.3587,0.0131,1.3619,24,4
