access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,62478.5775,62585.4388,0.0140,131072.0000,1024.0000,0.0067,2.0943,0.3325,2.0979,32,0
read,88136.0742,88326.7726,0.0115,131072.0000,1024.0000,0.0063,1.4839,0.0273,1.4872,32,0
write,73596.3479,73726.9168,0.0134,131072.0000,1024.0000,0.0062,1.7778,0.0680,1.7810,32,1
read,95729.0934,95940.9282,0.0107,131072.0000,1024.0000,0.0059,1.3662,0.0370,1.3692,32,1
write,70662.0743,70799.2580,0.0140,131072.0000,1024.0000,0.0069,1.8513,0.0734,1.8549,32,2
read,75648.0224,75801.2251,0.0134,131072.0000,1024.0000,0.0068,1.7292,0.0290,1.7327,32,2
write,73656.3981,73790.7160,0.0135,131072.0000,1024.0000,0.0062,1.7763,0.0647,1.7795,32,3
read,87276.5979,87456.8430,0.0115,131072.0000,1024.0000,0.0061,1.4987,0.0357,1.5018,32,3
write,74442.8274,74589.7861,0.0134,131072.0000,1024.0000,0.0067,1.7572,0.0553,1.7607,32,4
read,96391.2808,96629.4924,0.0104,131072.0000,1024.0000,0.0066,1.3564,0.0340,1.3598,32,4
