access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,3555.1945,227556.3527,0.0045,131072.0000,16.0000,0.0072,36.8639,0.1790,36.8677,32,0
read,3524.1971,225569.7775,0.0045,131072.0000,16.0000,0.0069,37.1885,0.1857,37.1920,32,0
write,3528.1255,225820.1515,0.0045,131072.0000,16.0000,0.0064,37.1473,0.3663,37.1506,32,1
read,3518.3244,225191.9623,0.0045,131072.0000,16.0000,0.0062,37.2509,0.3592,37.2541,32,1
write,3537.4796,226418.6340,0.0045,131072.0000,16.0000,0.0063,37.0491,0.2102,37.0524,32,2
read,3523.0765,225495.9542,0.0045,131072.0000,16.0000,0.0062,37.2007,0.2074,37.2038,32,2
write,3544.8654,226892.4743,0.0045,131072.0000,16.0000,0.0066,36.9717,0.3103,36.9752,32,3
read,3519.4135,225262.4296,0.0045,131072.0000,16.0000,0.0065,37.2393,0.3052,37.2426,32,3
write,3433.5602,219766.8695,0.0046,131072.0000,16.0000,0.0063,38.1705,0.2366,38.1738,32,4
read,3596.9370,230224.1867,0.0044,131072.0000,16.0000,0.0062,36.4367,0.1787,36.4399,32,4
